fecha,tasa_objetivo,delta_tasa,delta_por,cambio
2008-06-20T00:00:00Z,7.75,0.25,25%,positivo
2008-07-18T00:00:00Z,8,0.25,25%,positivo
2008-08-15T00:00:00Z,8.25,0.25,25%,positivo
2009-01-16T00:00:00Z,7.75,-0.5,-50%,negativo
2009-02-20T00:00:00Z,7.5,-0.25,-25%,negativo
2009-03-20T00:00:00Z,6.75,-0.75,-75%,negativo
2009-04-17T00:00:00Z,6,-0.75,-75%,negativo
2009-05-15T00:00:00Z,5.25,-0.75,-75%,negativo
2009-06-19T00:00:00Z,4.75,-0.5,-50%,negativo
2009-07-17T00:00:00Z,4.5,-0.25,-25%,negativo
2013-03-08T00:00:00Z,4,-0.5,-50%,negativo
2013-09-06T00:00:00Z,3.75,-0.25,-25%,negativo
2013-10-25T00:00:00Z,3.5,-0.25,-25%,negativo
2014-06-06T00:00:00Z,3,-0.5,-50%,negativo
2015-12-17T00:00:00Z,3.25,0.25,25%,positivo
2016-02-17T00:00:00Z,3.75,0.5,50%,positivo
2016-06-30T00:00:00Z,4.25,0.5,50%,positivo
2016-09-29T00:00:00Z,4.75,0.5,50%,positivo
2016-11-17T00:00:00Z,5.25,0.5,50%,positivo
2016-12-15T00:00:00Z,5.75,0.5,50%,positivo
2017-02-09T00:00:00Z,6.25,0.5,50%,positivo
2017-03-30T00:00:00Z,6.5,0.25,25%,positivo
2017-05-18T00:00:00Z,6.75,0.25,25%,positivo
2017-06-22T00:00:00Z,7,0.25,25%,positivo
2017-12-14T00:00:00Z,7.25,0.25,25%,positivo
2018-02-08T00:00:00Z,7.5,0.25,25%,positivo
2018-06-21T00:00:00Z,7.75,0.25,25%,positivo
2018-11-15T00:00:00Z,8,0.25,25%,positivo
2018-12-20T00:00:00Z,8.25,0.25,25%,positivo
2019-08-15T00:00:00Z,8,-0.25,-25%,negativo
2019-09-26T00:00:00Z,7.75,-0.25,-25%,negativo
2019-11-14T00:00:00Z,7.5,-0.25,-25%,negativo
2019-12-19T00:00:00Z,7.25,-0.25,-25%,negativo
2020-02-13T00:00:00Z,7,-0.25,-25%,negativo
2020-03-20T00:00:00Z,6.5,-0.5,-50%,negativo
2020-04-21T00:00:00Z,6,-0.5,-50%,negativo
2020-05-14T00:00:00Z,5.5,-0.5,-50%,negativo
2020-06-25T00:00:00Z,5,-0.5,-50%,negativo
2020-08-14T00:00:00Z,4.5,-0.5,-50%,negativo
